sequence,event_id,operation,record_id,product_id,title,brand,color,locale,text,catalog_version,active
11,EVT-011,DELETE,ece00341-e268-5b10-9210-1758348e1e58,B07XZBXCNB,,,,es,,2,False
12,EVT-012,DELETE,1202c20e-88eb-58d9-9247-fa1d3fd0aef2,B07S7B3SN2,,,,es,,2,False
13,EVT-013,DELETE,5a0bbf29-4e42-5d81-b512-6048b2f5acc1,8417441271,,,,es,,2,False
14,EVT-014,DELETE,e8869496-d4ee-59b7-821b-d4141a126312,B00JOH9FRO,,,,es,,2,False
15,EVT-015,DELETE,36f46947-09fe-5bc4-a5b1-aeb32e48d592,B07RL2XB4V,,,,es,,2,False
16,EVT-016,DELETE,b74c55ca-eb85-5964-83ba-d79812b95e30,B01JADTEKE,,,,es,,2,False
17,EVT-017,UPSERT,b3eb4062-44fd-5e1a-bbdf-1d5357452d74,AURUM-NEW-001,Taladro inalámbrico compacto 24 V con dos baterías,Aurum Tools,rojo,es,Taladro inalámbrico compacto 24 V con dos baterías. Marca: Aurum Tools. Color: rojo,1,True
18,EVT-018,UPSERT,2d8b0e1e-6581-5a9e-9394-6aa93336c7ea,AURUM-NEW-002,Silla ergonómica de oficina con apoyo lumbar ajustable,Aurum Work,negro,es,Silla ergonómica de oficina con apoyo lumbar ajustable. Marca: Aurum Work. Color: negro,1,True
19,EVT-019,UPSERT,0ebc5080-c2e5-5840-95e3-3641fcda4d8a,AURUM-NEW-003,Soporte universal de ventana para aire acondicionado portátil,Aurum Home,blanco,es,Soporte universal de ventana para aire acondicionado portátil. Marca: Aurum Home. Color: blanco,1,True
20,EVT-020,UPSERT,1663e513-0f31-52d5-a852-4666465c7528,AURUM-NEW-004,Televisor compacto de 28 pulgadas para cocina,Aurum Vision,negro,es,Televisor compacto de 28 pulgadas para cocina. Marca: Aurum Vision. Color: negro,1,True
21,EVT-021,UPSERT,a1cf14f7-053d-5549-8c50-b8e904ab3f3d,AURUM-NEW-005,Funda trasera para iPad Air 4 con pantalla descubierta,Aurum Mobile,transparente,es,Funda trasera para iPad Air 4 con pantalla descubierta. Marca: Aurum Mobile. Color: transparente,1,True
22,EVT-022,UPSERT,2fbca47f-ecc8-53ea-9c46-70858c4099db,AURUM-NEW-006,Estantería adhesiva para dormitorio sin agujeros,Aurum Home,blanco,es,Estantería adhesiva para dormitorio sin agujeros. Marca: Aurum Home. Color: blanco,1,True
23,EVT-023,UPSERT,9c1882af-6c6d-50a4-a1d1-f068f086b38b,AURUM-NEW-007,Cámara bridge económica con zoom óptico de largo alcance,Aurum Photo,negro,es,Cámara bridge económica con zoom óptico de largo alcance. Marca: Aurum Photo. Color: negro,1,True
24,EVT-024,UPSERT,fa42da6f-d75f-52b3-884e-f19e39f81ab7,AURUM-NEW-008,Base tapizada 160 x 200 sin patas,Aurum Sleep,gris,es,Base tapizada 160 x 200 sin patas. Marca: Aurum Sleep. Color: gris,1,True
