query_id,product_id,esci_label,relevance
33633,B07WGHD2Z7,C,1
33633,B07XD9D2HB,S,2
33633,B07XM84G9L,S,2
33633,B07Z8N7Z3K,C,1
33633,B0818K237B,I,0
33633,B0818SNL38,I,0
33633,B0818TKB98,I,0
33633,B0818VQ544,I,0
33633,B0818WGCXC,I,0
33633,B082GRDSDB,I,0
38249,B00OXNEU5Q,E,3
38249,B01MZAP2O5,S,2
38249,B071S374G9,E,3
38249,B075CT3ZT8,E,3
38249,B07BH2442X,E,3
38249,B07F6QTVK4,E,3
38249,B07QKJQ6Z4,E,3
38249,B07QY6B8K5,E,3
38249,B07SWYRYB4,I,0
38249,B07WLWYNF3,E,3
38249,B07WT1ZWG3,E,3
38249,B07WV31K2S,E,3
38249,B07ZVJQNRK,E,3
38249,B082PR44HT,S,2
38249,B082VZP3J5,C,1
38249,B087Q5SLQT,E,3
38249,B087QYF1WC,E,3
38249,B08BWTFMV4,E,3
38249,B08CDNV942,S,2
38249,B08FMH2YHQ,E,3
38249,B08HQJQRHT,E,3
38249,B08LPWCHV7,I,0
38249,B08NV5FQY4,E,3
38249,B08R6H2TXD,S,2
38249,B08S3WZX4M,E,3
38249,B08SHYQGSZ,I,0
38249,B08W29D9SB,E,3
38249,B08Y8G4F6K,S,2
38249,B08Z3LRJ8B,E,3
38249,B08Z41QFJ6,E,3
38249,B091T4NPSM,E,3
38249,B0922JVG1Y,E,3
38249,B094FWB6J5,E,3
38249,B094GS9X92,E,3
38249,B096LZLK4H,E,3
38249,B096TPBZ3Z,E,3
38249,B097HLYDF4,E,3
38249,B09B1RP7G1,E,3
38249,B09BHVMCC3,E,3
38249,B09BQTS4FF,I,0
43240,B071FF9Y6T,I,0
43240,B07GXJ9S5M,I,0
43240,B07V8GBRPW,I,0
43240,B08CXPPSX8,E,3
43240,B08DKWQD8R,E,3
43240,B08DXHWQZC,E,3
43240,B08FQQWVTP,E,3
43240,B08FT5QDWJ,E,3
43240,B08G42DW2L,S,2
43240,B08GWN3GMX,S,2
43240,B08GY7NPYN,E,3
43240,B08J9T11XW,E,3
43240,B08JCFN672,S,2
43240,B08KPYKNWZ,E,3
43240,B08KTS1FZT,S,2
43240,B08L1XPVFD,E,3
43240,B08L6GSP7S,S,2
43240,B08LVQPZQD,E,3
43240,B08LYB2GP9,E,3
43240,B08LYZLJ35,E,3
43240,B08LZYZ1FJ,E,3
43240,B08M3YK354,E,3
43240,B08MF41QVT,S,2
43240,B08MJBJWLP,E,3
43240,B08MQ42Z6P,E,3
43240,B08MSR1SJS,S,2
43240,B08N6MJYNM,E,3
43240,B08N9HYMDW,E,3
43240,B08ND8VXN4,E,3
43240,B08PPFGGK3,E,3
43240,B08Q3KQ1KZ,S,2
43240,B08RS2N1VY,I,0
43240,B08Z76N379,I,0
43240,B08ZS57R32,S,2
43240,B092VN3C4H,E,3
43240,B09314LYMF,S,2
43240,B093NZZZXD,E,3
43240,B096ZQXB5P,E,3
43240,B09BCW927H,E,3
43240,B09CTXLHZS,S,2
61533,B0020T04I2,I,0
61533,B0046ZFHO4,E,3
61533,B004X0KWYW,I,0
61533,B009PLRV2A,E,3
61533,B00M7DTS88,E,3
61533,B00MY3XA6M,I,0
61533,B00WGOY7O8,E,3
61533,B00XA0S8LK,I,0
61533,B00XA0SK04,S,2
61533,B00XACGH6Q,S,2
61533,B01I5JVBZK,E,3
61533,B01M27AX2U,I,0
61533,B01M31TMH8,E,3
61533,B01M4LWO0J,S,2
61533,B01MSTVEZN,E,3
61533,B0725Q67X3,E,3
61533,B072FQPDZD,I,0
61533,B073FB37SL,E,3
61533,B079ZYKLFD,E,3
61533,B07B1171D5,E,3
61533,B07BXN33GQ,E,3
61533,B07FNQ3DHK,E,3
61533,B07QB8484X,E,3
61533,B07QB8484Y,E,3
61533,B07QB8484Z,I,0
61533,B07RT1QP55,E,3
61533,B07S4SLSFM,E,3
61533,B07Y9ZPK8F,E,3
61533,B07ZWPV8LV,I,0
61533,B0811WMJM7,E,3
61533,B081T55SQF,S,2
61533,B082VVLV3X,E,3
61533,B0837V9T36,E,3
61533,B084BPS1LS,E,3
61533,B085WY78SG,E,3
61533,B0869L7SSX,E,3
61533,B0869LJW6J,E,3
61533,B086PZBWZ3,S,2
61533,B08LNS51YL,I,0
61533,B08NW3YCY6,I,0
