product_id,product_locale,product_title,product_description,product_bullet_point,product_brand,product_color
B00BIFWNV0,es,"Sony Cyber-Shot DSC-HX300 - Cámara compacta de 20.4 MP (Pantalla de 3"", Zoom óptico 50x, estabilizador), Negro",,"Precio mínimo en los 30 días previos a la promoción: 279,65€ Sensor CMOS Exmor R 20,4 MP Lente ZEISS Vario-Sonnar T* Estabilización de imagen SteadyShot óptica 20,4 megapíxeles, CMOS Exmor R, zoom óptico de 50x, LCD de 7,5 cm (3,0""), Full HD, modo automático inteligente, control manual",Sony,Negro
B00FWVM4RE,es,"Sony DSC-H300 - Cámara compacta de 20.1 MP (pantalla de 3"", zoom óptico 35x, estabilizador de imagen electrónico, vídeo HD 720p), negro",,"Objetivo de zoom óptico de 35x Capacidad de vídeo en HD para unos vídeos atractivos El sistema SteadyShot óptico reduce la borrosidad, incluso con poca luz Sensor Super HAD CCD de 20.1 MP Resolución máxima de la imagen: 5152 x 3864 píxeles",Sony,Negro
B00G7614BK,es,"DeWalt DCD795D2-QW - Taladro Percutor a bateria sin escobillas XR 18V 13mm 60Nm con 2 baterías Li-Ion 2,0Ah con maletín TSTAK",,"Taladro percutor a batería litio XR 18V con motor Brushless sin escobillas que aumenta la autonomía y entrega mayor potencia; y portabrocas de 13mm Dos velocidades variables y reversibles de 0-600/2000 rpm con toda la transmisión metálica para mayor autonomía y una vida más larga de la herramienta Acción percutora de hasta 34.000 impactos por minuto para trabajos en mampostería y hormigón Diseño ultra-compacto y ligero permite el uso en espacios confinados Incluye: 2 baterías XR Li-on 18V de 2Ah, cargador multivoltaje y maletín TSTAK",DeWalt,Amarillo
B00KKFCLF2,es,"SONGMICS Taburete de Bar Juego de 2, Sillas de Bar Regulables en Altura en Piel Sintética, Taburete de cocina Giratorio en 360° con Respaldo y Reposapiés, Acero Cromado, Negro LJB64B",,"LA PAREJA CORRECTA: Crea un nuevo y acogedor rincón donde desayunar con tu pareja todos los días; este par de taburetes elegantes de cocina SONGMICS son complemento bonitos que combinan a la perfección con el rincón de tu cocina SOPORTE CÓMODO: Acolchado con espuma gruesa de 6 cm y tapizado con piel sintética de primera calidad, los taburetes de bar son cómodos y fáciles de limpiar; el respaldo y el reposapiés permiten un pequeño descanso y la altura se puede ajustar a voluntad MONTAJE RÁPIDO: En sólo 3 sencillos pasos conseguirás que se monte este taburete de bar, ¡ahora todo lo que tienes que hacer es invitar a tus amigos a tomar algo UN ASIENTO SEGURO: El cilindro de retorno automático ha pasado la prueba de SGS de acuerdo con la norma BIFMA X5.1 (N.º de prueba: AJHL1712004551FT, soporte de prueba: proveedor); la estructura de acero cromado y la base agrandada (ø 41 cm) de estos taburetes de bar garantizan una capacidad de carga de 120 kg para cada uno de ellos, no se tambaleará cada vez que te des vuelta para ver la televisión QUÉ HAY EN LA CAJA: Un juego de 2 taburetes giratorios y de altura ajustable, con respaldo, reposapiés y base resistente para un asiento cómodo y seguro. ¿Qué estás esperando? Completa tu cocina ahora",SONGMICS,Negro
B00KQPTKNW,es,"Miroytengo Somier multiláminas con REGULADORES LUMBARES, FIRMEZA Adaptable, Tubo 40x30MM y LÁMINAS de Haya Natural Antideslizantes (con Patas, 150x190 cm)","SOMIER MULTILÁMINAS con tubo de 40x30cm / Pintura exposi con tratamiento anticorrosión color plata. Refuerzo central en las siguientes medidas: 105x180, 105x190, 105x200, 135x180, 135x190, 135x200, 150x180, 150x190, 150x200. Láminas de haya vaporizada 38x8 con papel pintado antideslizante y regulables en la zona lumbar para una mejor adaptación. Patas cilíndricas con rosca y sistema anti-ruido, de 25cm de altura y 5cm de diámetro según opción. Fabricación Nacional, este somier proporciona gran comodidad y confort.","✅ Somier MULTILÁMINAS con tubo de 40x30cm. Su acabado esta hecho de pntura exposi con tratamiento anticorrosión color plata. ✅ Refuerzo central en las siguientes medidas: 105x180, 105x190, 105x200, 135x180, 135x190, 135x200, 150x180, 150x190, 150x200 ✅ Láminas de madera de haya natural vaporizada 38x8 con papel pintado antideslizante y regulables en la zona lumbar para una mejor adaptación. ✅ Patas cilíndricas con rosca de 10 mm y sistema anti-ruido, de 25cm de altura y 5cm de diámetro según opción. ✅ Fabricación Nacional, este somier proporciona gran comodidad y confort ¡El mejor de los somieres con diferencia!.",Miroytengo,Con Patas
B00M7DTS88,es,"Luengo Lenteja Pardina, 1kg",,Nuestras legumbres son sometidas a un riguroso control de selección y envasado Alto contenido en fibra Reconocido por la Fundación Española del Corazón,Luengo,
B00MY3XA6M,es,Beiker Preparado Panificable sin Gluten - 1000 gr,,"Preparado panificable Sin gluten Sin lactosa, sin trigo, sin leche añadida, sin huevo añadido, sin soja añadida",Beiker,
B00OXNEU5Q,es,"SONGMICS Set de 3 Estantes de Pared, Estantes Flotantes, 30/45/60 cm, Acabado Brillante, Decorativos, Creativos, para Habitación, Salón, Cocina, Pasillo, Capacidad de Carga de 15 kg, Blanco LWS66W","Gracias a este conjunto de 3 estantes de pared SONGMICS, decorativos y creativos, lacados con pintura gris brillante, las paredes de tu casa se verán mejor que nunca.<p> <b>Resistente en Cualquier Ambiente</b><br> Utiliza el espacio de las paredes vacías con estos estantes flotantes hechos de tablero de fibra de alta calidad que son prácticos, duraderos y no pasará de moda con el tiempo. Cada habitación los necesita para la organización: puedes colocar adornos y plantas en la sala de estar, libros y revistas en el dormitorio o especias y recipientes en la cocina, etc.<p> <b>Hacia Arriba o al Revés</b><br> Con herrajes colgantes invisibles en ambos lados, estos estantes se pueden colocar uno frente al otro, hacia arriba o hacia abajo para crear una forma que deseas. ¡Echa un vistazo a nuestras fotos para obtener algunas ideas! <p> <b>Especificaciones:</b> <br>- Color: Blanco <br>- Material: MDF (tablero de fibra de densidad media, grado E1) <br>- Dimensiones del estante pequeño: 30 x 15 x 10 cm (Largo x Ancho x Alto) <br>- Dimensiones del estante medio: 45 x 15 x 10 cm (Largo x Ancho x Alto) <br>- Dimensiones del estante grande : 60 x 15 x 10 cm (Largo x Ancho x Alto) <br>- Capacidad de carga estática de cada estante: 15 kg <br>- Peso total del producto: 3,65 kg<p> <b>Contenidos del paquete:</b> <br>- 3 x Estante de pared <br>- 1 x Bolsa de accesorios <br>- 1 x Manual de uso (ES, DE, EN, FR, IT)<p> <b>Notas de SONGMICS:</b> <br>- Para la instalación se requiere destornillador, nivel, taladro eléctrico y martillo. <br>- Se sugiere montar el producto en pared de hormigón macizo o ladrillo. Si desea montarlo en placas de yeso, debe obtener primero los tornillos apropiados en una ferretería.","Crea tu propio estilo: ¿Eres un aficionado del clasicismo? Deja estos 3 estantes de pared flotar hacia arriba. ¿Te gusta ser creativo? Desata tu imaginación colocándolos en pared arriba y boca abajo en un Diseño único y original para atraer la atención de tus visitantes Calidad intrínseca: Cada estante de pared está hecho de tablero de fibra con un espesor de 18 mm, es muy robusto y tiene una capacidad de carga de 15 kg, puede soportar perfectamente con elegancia tus fotos, plantas, recuerdos de vacaciones y demás cosas que desees mostrar Elegancia incomparable: Gracias a su diseño moderno y la singularidad de la pintura gris brillante, nuestros estantes flotantes no sólo son perfectos para cualquier habitación que necesite decoración mural, sino que también combinan fácilmente con el estilo de tu hogar Elementos de ayuda para el montaje: Incluimos no solo tornillos de expansión y pernos adecuados para los soportes metálicos montados en la parte posterior del estante, sino también las instrucciones ilustradas para ayudarte en el montaje Qué hay en la caja: Juego de 3 estantes de pared de diferentes tamaños que brillan en cada habitación, instrucciones claras y kit de montaje; así que no esperes más, decora tus paredes con estos estantes ahora",SONGMICS,Blanco
B00T9Y84O2,es,HOGAR24 Somier multiláminas con reguladores lumbares-150x190cm-PATAS 26CM (5 Patas Incluidas),"Sólida estructura de acero con perfil especial 40 x 30 mm. Láminas de haya 100% de 33 mm con acabado antihumedad y antideslizante. Para las medidas 80, 90, 105 y 120: juego de 4 patas incluido. Para las medidas 135, 140 y 150: juego de 5 patas incluido. Absorción de la presión sin ruidos, gracias a los tacos de alta resistencia que acoplan las láminas a la estructura. Las medidas de 80 y 90 cm no llevan barra central. Las medidas de 105, 120, 135, 140 y 150 cm incorporan 1 barra central. En medidas de 160 y 180 cm de ancho se compone de 2 unidades de 80 ó 90 cm unidos mediante una pletina de unión.","Sólida estructura de acero con perfil especial 40 x 30 mm Láminas de haya 100% de 33 mm con acabado antihumedad y antideslizante. Para las medidas 80, 90, 105 y 120: juego de 4 patas incluido. Para las medidas 135, 140 y 150: juego de 5 patas incluido. Absorción de la presión sin ruidos, gracias a los tacos de alta resistencia que acoplan las láminas a la estructura. Las medidas de 80 y 90 cm no llevan barra central. Las medidas de 105, 120, 135, 140 y 150 cm incorporan 1 barra central. En medidas de 160 y 180 cm de ancho se compone de 2 unidades de 80 ó 90 cm unidos mediante una pletina de unión.",HOGAR24,
B00T9Y8TQA,es,HOGAR24 Base TAPIZADA + 6 Patas DE Metal con Tejido 3D Y VÁLVULAS DE TRANSPIRACIÓN-135x190cm-PATAS 26CM,,"Base tapizada con tejido 3D transpirable, incorpora el exclusivo sistema Air Fresh 3D System, cuyos componentes han sido diseñados específicamente para facilitar una completa aireación y ventilación del equipo de descanso. A diferencia de las bases tapizadas convencionales, el tablero de kraft corrugado de alta resistencia es menos pesado y más fácil de mover que el tablero de madera aglomerada. Todas las medidas vienen preparadas para instalar 6 patas, excepto la medida de 150 que incorpora 7 patas. Incorpora tres barras transversales para un mayor refuerzo. Las bases tapizadas de 160 y 180 cm de ancho, se componen de 2 bases tapizadas de 80 o 90 cm unidas mediante pletina de unión. Estas medidas incorporan 12 patas. La base se entrega montada, sólo es necesario roscar las patas sin necesidad de utilizar herramientas de montaje. Fabricado en España, garantía de satisfacción 100%.",HOGAR24,Beige
B00T9YBL6K,es,"HOGAR24 Somier Somieres Lama Ancha Reforzada con Tacos Anti-Ruido y Patas cilíndricas, Tubo 40x30. Fabricación Nacional-90x190cm-PATAS 26CM",,"Lamas de madera de chopo de 17cm de ancho vaporizados con papel estructurado antideslizante Bastidor acerado de 40x30 mm, con tacos laterales de alta resistencia para amortiguar ruidos. Pintura polipox-hibrido de secado al horno con tratamiento anti-corrosión Juego de 4 patas de 26cm incluido Las medidas de 80, 90 y 105 cm incorporan 1 barra central. Las medidas de 120, 135, 140 y 150 cm incorporan 2 barras centrales. En medidas de 160 cm y 180 cm de ancho se compone de 2 unidades de 80 cm ó 90 cm unidos mediante una pletina de unión.",HOGAR24,
B00TGZPG6S,es,"HOGAR 24 Somier, Madera, 90 x 190 cm",,Tubo de acero de 30 x 30 mm Láminas de chopo de 100 mm Barra central de refuerzo Entrega a pie de calle Fabricado en España,HOGAR 24,Madera
B00UTBFWNU,es,"Songmics OBG22B-Silla de Oficina giratoria (Altura Regulable, Acolchada), Piel sintética, Negro, 76x66x32",,"Alta estabilidad y durabilidad – Las partes importantes (como reposabrazos, ruedas, pistones de gas, etc.) se han mejorado y han superado la BIFMA Con un diámetro de la base en cruz de aprox. 70 cm garantiza una excelente estabilidad y está verificado por SGS. La silla de oficina es resistente y duradera. Máx. Peso máximo: 150 kg Altura total: 112-122 cm. Altura del respaldo: aprox. 74 cm. Superficie del asiento: ancho aprox. 54 cm. Profundidad: aprox. 50 cm, altura regulable sin niveles: aprox. 44-54 cm. Altura desde el reposabrazos hasta el suelo: aprox. 68-78 cm. Diámetro de la base: aprox. 70 cm Material de alta calidad: la superficie de poliuretano de alta calidad es agradable al tacto y fácil de limpiar. El acolchado extra grueso permite una comodidad óptima y promete una buena elasticidad y un mejor ajuste. No se deforma fácilmente Ruedas de alta calidad, base en cruz con 5 ruedas de seguridad. Las ruedas de las sillas tienen un revestimiento de poliuretano de alta calidad, son resistentes a la abrasión, muy silenciosas, y también protegen el suelo de arañazos. Esta silla giratoria se entrega con ruedas adecuadas para su uso en casi todos los revestimientos de suelo (madera, azulejos, PVC y moqueta) Piezas de repuesto disponibles – Los tornillos mejorados no se sueltan fácilmente incluso después de un uso prolongado. Incluye rodillo adicional y tornillos de repuesto. Fácil de montar gracias a las instrucciones bien pensadas (idioma español no garantizado). La herramienta también está incluida",SONGMICS,Negro
B00W46KQ5W,es,"Sony Cyber-Shot DSC-HX90 - Cámara compacta de 18.2 Mp (pantalla de 3"", zoom óptico 30x, sensor Exmor R, visor OLED, pantalla para selfies, Wi-fi/NFC), negro con estabilizador de imagen",,"Visor electrónico retráctil de alto contraste OLED ""Tru-Finder"" Olvidate del desenfoque con estabilización de imagen inteligente de 5 ejes y análisis de fotograma CoMparte con facilidad y toma el control de la cámara distancia con las funciones WIFI / NFC La cámara más pequeña del mundo (entre las cámaras digitales coMpactas con 30x de zoom óptico y visor) Enchufe europeo",Sony,negro
B00WGOY7O8,es,"LITORAL Plato Preparado de Lentejas Riojana, Sin Gluten, 430g",,LITORAL Lentejas Riojana con un selecto embutido elaborado en Asturias Ingredientes 100% naturales sin gluten; ni aditivos Disfruta de un plato típico de la cocina casera española; con la calidad de LITORAL Fuente natural de fibra. Disponible en formato lata: 430g,Litoral,
B00XA0S8LK,es,"LITORAL Plato Preparado de Callos Madrileña, Sin Gluten, 380g",,"LITORAL Callos Madrileña con un selecto embutido elaborado en Asturias Ingredientes 100% naturales sin gluten, ni aditivos Disfruta de un plato típico de la cocina casera española, con la calidad de LITORAL Disponible en formato lata: 380g Comida española fácil de preparar: al baño maria, en cazo o al microondas",Litoral,
B00XA0SK04,es,"LITORAL Vegetal Plato Preparado de Garbanzos con Espinacas, Sin Gluten, 425g",,"LITORAL Vegetal Garbanzos con deliciosa receta ligera y verduras españolas Receta 100% vegetal, baja en grasa y sin gluten, ni aditivos Disfruta de una receta práctica y saludable, con la calidad de LITORAL Apto para dietas vegetarianas Disponible en formato lata: 425g",Litoral,
B00XACGH6Q,es,"Litoral Hoy Legumbres Plato Preparado de Legumbres, sin Gluten, 430g",,"LITORAL Alubias con Legumbres de cultivo local, cuidadosamente seleccionadas y acompañadas de su sofrito Ingredientes 100% naturales sin gluten, ni aditivos Disfruta de un plato típico de la cocina casera española, con la calidad de LITORAL Disponible en formato lata: 430g Comida española fácil de preparar: al baño maria, en cazo o al microondas",Litoral,
B00Y0Q1DLK,es,"HOGAR24 ES Somier Multiláminas Con Reguladores Lumbares, Sin Patas 150x190 Cm",,Sólida estructura de acero Tamaño: 150 x 190 cm Con acabado antihumedad y antideslizante Marca del producto: Hogar24 ES,HOGAR24,
B00YMSZDZS,es,HOGAR24 Base TAPIZADA con Tejido 3D Y VÁLVULAS DE TRANSPIRACIÓN Y 6 Patas DE Metal DE 32 CM 90x200cm,"Base tapizada con tejido 3D transpirable, incorpora el exclusivo sistema Air Fresh 3D System, cuyos componentes han sido diseñados específicamente para facilitar una completa aireación y ventilación del equipo de descanso. A diferencia de las bases tapizadas convencionales, el tablero de kraft corrugado de alta resistencia es menos pesado y más fácil de mover que el tablero de madera aglomerada. Todas las medidas vienen preparadas para instalar 6 patas, excepto la medida de 150 que incorpora 7 patas. Incorpora tres barras transversales para un mayor refuerzo. Las bases tapizadas de 160 y 180 cm de ancho, se componen de 2 bases tapizadas de 80 o 90 cm unidas mediante pletina de unión. Estas medidas incorporan 12 patas. La base se entrega montada, sólo es necesario roscar las patas sin necesidad de utilizar herramientas de montaje. Fabricado en España, garantía de satisfacción 100%.","Base tapizada con tejido 3D transpirable, incorpora el exclusivo sistema Air Fresh 3D System, cuyos componentes han sido diseñados específicamente para facilitar una completa aireación y ventilación del equipo de descanso. A diferencia de las bases tapizadas convencionales, el tablero de kraft corrugado de alta resistencia es menos pesado y más fácil de mover que el tablero de madera aglomerada. Todas las medidas vienen preparadas para instalar 6 patas, excepto la medida de 150 que incorpora 7 patas. Incorpora tres barras transversales para un mayor refuerzo. Las bases tapizadas de 160 y 180 cm de ancho, se componen de 2 bases tapizadas de 80 o 90 cm unidas mediante pletina de unión. Estas medidas incorporan 12 patas. La base se entrega montada, sólo es necesario roscar las patas sin necesidad de utilizar herramientas de montaje. Fabricado en España, garantía de satisfacción 100%.",HOGAR24,Patas 32 Cm
B00YMT0IKW,es,"Base Tapizada Con Tejido 3D y Válculas de Transpiración y 6 Patas De Metal De 32 cm, 135x190cm","Base tapizada con tejido 3D transpirable, incorpora el exclusivo sistema Air Fresh 3D System, cuyos componentes han sido diseñados específicamente para facilitar una completa aireación y ventilación del equipo de descanso. A diferencia de las bases tapizadas convencionales, el tablero de kraft corrugado de alta resistencia es menos pesado y más fácil de mover que el tablero de madera aglomerada. Todas las medidas vienen preparadas para instalar 6 patas, excepto la medida de 150 que incorpora 7 patas. Incorpora tres barras transversales para un mayor refuerzo. Las bases tapizadas de 160 y 180 cm de ancho, se componen de 2 bases tapizadas de 80 o 90 cm unidas mediante pletina de unión. Estas medidas incorporan 12 patas. La base se entrega montada, sólo es necesario roscar las patas sin necesidad de utilizar herramientas de montaje. Fabricado en España, garantía de satisfacción 100%.","Base tapizada con tejido 3D transpirable, incorpora el exclusivo sistema Air Fresh 3D System, cuyos componentes han sido diseñados específicamente para facilitar una completa aireación y ventilación del equipo de descanso. A diferencia de las bases tapizadas convencionales, el tablero de kraft corrugado de alta resistencia es menos pesado y más fácil de mover que el tablero de madera aglomerada. Todas las medidas vienen preparadas para instalar 6 patas, excepto la medida de 150 que incorpora 7 patas. Incorpora tres barras transversales para un mayor refuerzo. Las bases tapizadas de 160 y 180 cm de ancho, se componen de 2 bases tapizadas de 80 o 90 cm unidas mediante pletina de unión. Estas medidas incorporan 12 patas. La base se entrega montada, sólo es necesario roscar las patas sin necesidad de utilizar herramientas de montaje. Fabricado en España, garantía de satisfacción 100%.",HOGAR24,Metal
B012T29V06,es,Kodak Pixpro FZ152 Negra,,Zoom óptico 4 X Gran angular de 27 mm Compatible con PC o Mac Vídeo HD de 720 pixeles,KODAK,Negro
B015FMZ4MQ,es,HOGAR24 Base TAPIZADA + SIN Patas con Tejido 3D Y VÁLVULAS DE TRANSPIRACIÓN-160x200cm (2 Bases DE 80CM con Abrazadera),"Base tapizada con tejido 3D transpirable, incorpora el exclusivo sistema Air Fresh 3D System, cuyos componentes han sido diseñados específicamente para facilitar una completa aireación y ventilación del equipo de descanso. A diferencia de las bases tapizadas convencionales, el tablero de kraft corrugado de alta resistencia es menos pesado y más fácil de mover que el tablero de madera aglomerada. Todas las medidas vienen preparadas para instalar 6 patas, excepto la medida de 150 que incorpora 7 patas. Incorpora tres barras transversales para un mayor refuerzo. Las bases tapizadas de 160 y 180 cm de ancho, se componen de 2 bases tapizadas de 80 o 90 cm unidas mediante pletina de unión. Estas medidas incorporan 12 patas. La base se entrega montada, sólo es necesario roscar las patas sin necesidad de utilizar herramientas de montaje. Fabricado en España, garantía de satisfacción 100%.","Base tapizada con tejido 3D transpirable, incorpora el exclusivo sistema Air Fresh 3D System, cuyos componentes han sido diseñados específicamente para facilitar una completa aireación y ventilación del equipo de descanso. A diferencia de las bases tapizadas convencionales, el tablero de kraft corrugado de alta resistencia es menos pesado y más fácil de mover que el tablero de madera aglomerada. Todas las medidas vienen preparadas para instalar 6 patas, excepto la medida de 150 que incorpora 7 patas. Incorpora tres barras transversales para un mayor refuerzo. Las bases tapizadas de 160 y 180 cm de ancho, se componen de 2 bases tapizadas de 80 o 90 cm unidas mediante pletina de unión. Estas medidas incorporan 12 patas. La base se entrega montada, sólo es necesario roscar las patas sin necesidad de utilizar herramientas de montaje. Fabricado en España, garantía de satisfacción 100%.",HOGAR24,Sin Patas
B0172UUVFY,es,Genérico. GASMOBE Base Unidad Externa Condensador Pack (2) Resina PVC Ajustable para Unidad de Condensador Aire Acondicionado minisplit. Soporta hasta 120kg por Base. con herrajes. (85X80X350),"❄️ Bases para pavimento en PVC doble extrusión anti-choque y resistente a los rayos UV. ❄️ Ideales para fijar la unidad externa al suelo. Diseño de absorción de impactos. ❄️ Color marfil. Incluye herrajes. ❄️ Instalación simple: entrega a granel, accesorios completos, montaje simple y fácil de usar. ❄️ Adecuado para varias marcas de sistemas de aire acondicionado de condensación exterior y de bomba de calor para exteriores.","❄️ Base para condensadores resina de PVC ajustable para unidad de condensador de aire acondicionado mini split sin conductos ❄️ Proteja el condensador Transpirable, impermeable y resistente a la humedad, alargando la vida útil de la máquina. ❄️Soporte bases para aire acondicionado para unidad exterior de aire acondicionado",Genérico.,
B019GL1854,es,"Kodak Astro Zoom AZ422 Cámara digital, 20MP, 1/2.3"" CCD, 5152 x 3864 Pixeles, Negro",,"Enchufe europeo Auto, Nublado, Luz de día, Fluorescente, Incandescente, Manual, Niños, Fuegos artificiales, Paisaje, Paisaje nocturno, Retrato nocturno, Panorama, Party (interior) uto, Película, Imagen única, Presentación de diapositivas, Miniaturas, Batería, Cámara puente",KODAK,Negro
B01A5VQHBY,es,Taladro Percutor Brushless 20V Worx WX373,,"""Motor Brushless: Hasta 50% más de autonomía Hasta 25% más de potencia Hasta 10 veces mayor vida del motor."" 2 Velocidades Variables: El control de 2 velocidades es ideal para atornillar y taladrar, permite obtener un mejor rendimiento, aplicando diferentes velocidades para diferentes trabajos. Primera velocidad para mayor par de apriete; Segunda velocidad para mayor velocidad ""22+1+1 pares de apriete: Ajusta la posición de apriete para ser eficiento en todos tus trabajos. Regula el par de apriete a una posición más alta para perforar con martillo y alcanzar el mejor rendimiento."" Luz LED: Equipado con una luz LED, este taladro de impacto permite trabajar en zonas oscuras. La luz LED se activa cuando se presiona ligeramente el gatillo. ""WX373: PowerShare: La batería PowerShare 20V se puede compartir con otras herramientas Worx de 20V, de forma cómoda y económica. Además, ofrece menos tiempo de carga y mayor capacidad.",WORX,Negro
B01AY8BVQY,es,"Greenworks 673801107 Taladro Destornillador, 700 W, 24 V, Verde",,"Funciones: función de taladrar, atornillar y martillo LED incorporado que se enciende la luz de área de trabajo Asa confort para un mantenimiento seguro Rotación simple y marcha atrás",Greenworks,Verde
B01B1JGLCO,es,"HOGAR 24 Somier Láminas De Chopo Sin Patas, Acero, Naranja, 90x190",,"Tubo de acero de 30 x 30 mm Láminas de chopo de 100 mm con acabado Absorción de la presión sin ruidos, gracias a los tacos de alta resistencia que acoplan las láminas a la estructura. Sólida estructura de acero con perfil especial. Las medidas de 80, 90 y 105 cm incorporan 1 barra central. Las medidas de 120, 135, 140 y 150 cm incorporan 2 barras centrales.",HOGAR 24,Naranja
B01B98IYPY,es,"C&Aacute;Mara Digital 16&Nbsp;Mp, Zoom 16X,&Nbsp;Color&Nbsp;Negro","Bridge con zoom, gran ángulo, 16 aumentos – Color: Negro – 16 MP – Visor Electrónico – Amplia pantalla LCD de 3 pulgadas – Sistema de estabilización ""Shake Reduction"" – Vídeo Full HD con botón dedicado – Salida Micro-HDMI – Batería de litio recargable.<br> Idioma del menú chino/inglés/alemán/francés/italiano/japonés/español/portugués/ruso/turco.","Pantalla en color, TFT, 16&nbsp;aumentos, sensor de pixel, m&aacute;ximo zoom digital, pantalla de 3&nbsp;pulgadas, CMOS 5.0&nbsp;MP, 16&nbsp;millones de p&iacute;xeles. 16&nbsp;MP/12&nbsp;MP/8&nbsp;MP/5&nbsp;MP/2&nbsp;MP/ de resoluci&oacute;n de v&iacute;deo. Resoluci&oacute;n fotogr&aacute;fica de 1280&nbsp;x 720&nbsp;p&iacute;xeles/640&nbsp;x 480&nbsp;p&iacute;xeles/320&nbsp;x 240&nbsp;p&iacute;xeles. C&aacute;mara digital + c&aacute;mara de v&iacute;deo digital + c&aacute;mara web, escenas desde coche, Paisaje, noche, definici&oacute;n ultra alta, calidad de imagen/de alta definici&oacute;n/definici&oacute;n est&aacute;ndar. Funci&oacute;n de impresi&oacute;n integrada, obturador electr&oacute;nico, micr&oacute;fono integrado, altavoz integrado. Accesorios est&aacute;ndar. Bater&iacute;a de litio, cargador, USB, transmisi&oacute;n por cable por salida a TV, bolsa, correa, manual (idioma espa&ntilde;ol no garantizado), CD-ROM.",G-Anica,negro
