example_id,query,query_id,product_id,product_locale,esci_label,split
392053,botines marrones mujer tacon medio,18868,B07G1DXKV2,es,E,test
392054,botines marrones mujer tacon medio,18868,B079FTG3Z7,es,I,test
392055,botines marrones mujer tacon medio,18868,B075Z34PS8,es,I,test
392056,botines marrones mujer tacon medio,18868,B071P9Y9GD,es,I,test
392057,botines marrones mujer tacon medio,18868,B071RN7FHT,es,E,test
392058,botines marrones mujer tacon medio,18868,B072FRGG6S,es,I,test
392059,botines marrones mujer tacon medio,18868,B071GFDJSD,es,E,test
392060,botines marrones mujer tacon medio,18868,B0714N7942,es,E,test
392061,botines marrones mujer tacon medio,18868,B06X9WSSLL,es,S,test
392062,botines marrones mujer tacon medio,18868,B00475B94U,es,E,test
392063,botines marrones mujer tacon medio,18868,B001EYTW7S,es,I,test
580910,convertibles 2 en 1 portátil tactil,28703,B08MCDPVCJ,es,E,test
580911,convertibles 2 en 1 portátil tactil,28703,B08PFJVLGD,es,S,test
580912,convertibles 2 en 1 portátil tactil,28703,B08PFJXSW5,es,E,test
580913,convertibles 2 en 1 portátil tactil,28703,B08PFK1TTF,es,E,test
580914,convertibles 2 en 1 portátil tactil,28703,B08PVGW98R,es,E,test
580915,convertibles 2 en 1 portátil tactil,28703,B08SWF4FZ2,es,E,test
580916,convertibles 2 en 1 portátil tactil,28703,B08TP4PWBX,es,S,test
580917,convertibles 2 en 1 portátil tactil,28703,B08TX2KN7L,es,E,test
580918,convertibles 2 en 1 portátil tactil,28703,B08WRT63Z2,es,S,test
580919,convertibles 2 en 1 portátil tactil,28703,B08V249BKY,es,S,test
580920,convertibles 2 en 1 portátil tactil,28703,B08V54D9JP,es,E,test
580921,convertibles 2 en 1 portátil tactil,28703,B08M3LJX5H,es,E,test
580922,convertibles 2 en 1 portátil tactil,28703,B08Y5VXL32,es,E,test
580923,convertibles 2 en 1 portátil tactil,28703,B094H63DFF,es,S,test
580924,convertibles 2 en 1 portátil tactil,28703,B095KFLCLP,es,S,test
580925,convertibles 2 en 1 portátil tactil,28703,B095LQ88G1,es,S,test
580926,convertibles 2 en 1 portátil tactil,28703,B099KBZY98,es,I,test
580927,convertibles 2 en 1 portátil tactil,28703,B08V213JPV,es,E,test
580928,convertibles 2 en 1 portátil tactil,28703,B08L66P2D9,es,E,test
580929,convertibles 2 en 1 portátil tactil,28703,B08RZ19NDS,es,E,test
580930,convertibles 2 en 1 portátil tactil,28703,B08HZ3YBPH,es,E,test
580931,convertibles 2 en 1 portátil tactil,28703,B08JZVBZ13,es,E,test
580932,convertibles 2 en 1 portátil tactil,28703,B07NL3Z842,es,S,test
580933,convertibles 2 en 1 portátil tactil,28703,B07TCMJQTF,es,E,test
580934,convertibles 2 en 1 portátil tactil,28703,B07XT5ZSJD,es,E,test
580935,convertibles 2 en 1 portátil tactil,28703,B083B8L7Q9,es,S,test
580936,convertibles 2 en 1 portátil tactil,28703,B083BM815K,es,E,test
580937,convertibles 2 en 1 portátil tactil,28703,B085PCPNCV,es,S,test
580938,convertibles 2 en 1 portátil tactil,28703,B08822GWJV,es,E,test
580939,convertibles 2 en 1 portátil tactil,28703,B0883B57JC,es,E,test
580940,convertibles 2 en 1 portátil tactil,28703,B087KFR855,es,E,test
580941,convertibles 2 en 1 portátil tactil,28703,B089FYKC2P,es,S,test
580942,convertibles 2 en 1 portátil tactil,28703,B08GYFBKD4,es,E,test
580943,convertibles 2 en 1 portátil tactil,28703,B0883BHSY5,es,E,test
580944,convertibles 2 en 1 portátil tactil,28703,B08CVR88WM,es,E,test
580945,convertibles 2 en 1 portátil tactil,28703,B08CS7D3RL,es,E,test
580946,convertibles 2 en 1 portátil tactil,28703,B08FC69VMH,es,E,test
580947,convertibles 2 en 1 portátil tactil,28703,B08BZ58J1D,es,S,test
580948,convertibles 2 en 1 portátil tactil,28703,B089YT2VDN,es,S,test
580949,convertibles 2 en 1 portátil tactil,28703,B08BZ5SNTJ,es,S,test
629880,cámaras bridge baratas,31224,B01C672SZ4,es,S,test
629881,cámaras bridge baratas,31224,B07HP6XKC6,es,E,test
629882,cámaras bridge baratas,31224,B07H9J1YXN,es,C,test
629883,cámaras bridge baratas,31224,B01MU31H1P,es,E,test
629884,cámaras bridge baratas,31224,B01LNNBP9W,es,E,test
629885,cámaras bridge baratas,31224,B01C672VK6,es,S,test
629886,cámaras bridge baratas,31224,B01B98IYPY,es,S,test
629887,cámaras bridge baratas,31224,B07KQ1GFYD,es,S,test
629888,cámaras bridge baratas,31224,B012T29V06,es,S,test
629889,cámaras bridge baratas,31224,B00W46KQ5W,es,S,test
629890,cámaras bridge baratas,31224,B00FWVM4RE,es,E,test
629891,cámaras bridge baratas,31224,B00BIFWNV0,es,S,test
629892,cámaras bridge baratas,31224,B006Q8VAL8,es,S,test
629893,cámaras bridge baratas,31224,B000KIX65S,es,S,test
629894,cámaras bridge baratas,31224,B000IHYS2Q,es,S,test
629895,cámaras bridge baratas,31224,B019GL1854,es,E,test
677025,disfraz halloween talla grande hombre,33633,B0818WGCXC,es,I,test
677026,disfraz halloween talla grande hombre,33633,B0818VQ544,es,I,test
677027,disfraz halloween talla grande hombre,33633,B0818TKB98,es,I,test
677028,disfraz halloween talla grande hombre,33633,B0818SNL38,es,I,test
677029,disfraz halloween talla grande hombre,33633,B0818K237B,es,I,test
677030,disfraz halloween talla grande hombre,33633,B07Z8N7Z3K,es,C,test
677031,disfraz halloween talla grande hombre,33633,B07XM84G9L,es,S,test
677032,disfraz halloween talla grande hombre,33633,B082GRDSDB,es,I,test
677033,disfraz halloween talla grande hombre,33633,B07WGHD2Z7,es,C,test
677034,disfraz halloween talla grande hombre,33633,B07TFKMTJ8,es,S,test
677035,disfraz halloween talla grande hombre,33633,B07M9C56KQ,es,I,test
677036,disfraz halloween talla grande hombre,33633,B07M8Y1FMT,es,I,test
677037,disfraz halloween talla grande hombre,33633,B07JZCTFYV,es,I,test
677038,disfraz halloween talla grande hombre,33633,B07GVNHRRR,es,I,test
677039,disfraz halloween talla grande hombre,33633,B07GSVQG2R,es,E,test
677040,disfraz halloween talla grande hombre,33633,B07XD9D2HB,es,S,test
768021,estantes sin taladro habitacion,38249,B08Z3LRJ8B,es,E,test
768022,estantes sin taladro habitacion,38249,B08Y8G4F6K,es,S,test
768023,estantes sin taladro habitacion,38249,B08W29D9SB,es,E,test
768024,estantes sin taladro habitacion,38249,B08R6H2TXD,es,S,test
768025,estantes sin taladro habitacion,38249,B08S3WZX4M,es,E,test
768026,estantes sin taladro habitacion,38249,B08Z41QFJ6,es,E,test
768027,estantes sin taladro habitacion,38249,B08NV5FQY4,es,E,test
768028,estantes sin taladro habitacion,38249,B08SHYQGSZ,es,I,test
768029,estantes sin taladro habitacion,38249,B091T4NPSM,es,E,test
768030,estantes sin taladro habitacion,38249,B096LZLK4H,es,E,test
768031,estantes sin taladro habitacion,38249,B094FWB6J5,es,E,test
768032,estantes sin taladro habitacion,38249,B094GS9X92,es,E,test
768033,estantes sin taladro habitacion,38249,B096TPBZ3Z,es,E,test
768034,estantes sin taladro habitacion,38249,B097HLYDF4,es,E,test
768035,estantes sin taladro habitacion,38249,B09B1RP7G1,es,E,test
768036,estantes sin taladro habitacion,38249,B09BHVMCC3,es,E,test
768037,estantes sin taladro habitacion,38249,B09BQTS4FF,es,I,test
768038,estantes sin taladro habitacion,38249,B08LPWCHV7,es,I,test
768039,estantes sin taladro habitacion,38249,B0922JVG1Y,es,E,test
768040,estantes sin taladro habitacion,38249,B08HQJQRHT,es,E,test
768041,estantes sin taladro habitacion,38249,B07BH2442X,es,E,test
768042,estantes sin taladro habitacion,38249,B08CDNV942,es,S,test
768043,estantes sin taladro habitacion,38249,B08FMH2YHQ,es,E,test
768044,estantes sin taladro habitacion,38249,B00OXNEU5Q,es,E,test
768045,estantes sin taladro habitacion,38249,B01MZAP2O5,es,S,test
768046,estantes sin taladro habitacion,38249,B071S374G9,es,E,test
768047,estantes sin taladro habitacion,38249,B075CT3ZT8,es,E,test
768048,estantes sin taladro habitacion,38249,B07F6QTVK4,es,E,test
768049,estantes sin taladro habitacion,38249,B07QY6B8K5,es,E,test
768050,estantes sin taladro habitacion,38249,B07SWYRYB4,es,I,test
768051,estantes sin taladro habitacion,38249,B07QKJQ6Z4,es,E,test
768052,estantes sin taladro habitacion,38249,B07WT1ZWG3,es,E,test
768053,estantes sin taladro habitacion,38249,B07WV31K2S,es,E,test
768054,estantes sin taladro habitacion,38249,B07ZVJQNRK,es,E,test
768055,estantes sin taladro habitacion,38249,B082PR44HT,es,S,test
768056,estantes sin taladro habitacion,38249,B082VZP3J5,es,C,test
768057,estantes sin taladro habitacion,38249,B087Q5SLQT,es,E,test
768058,estantes sin taladro habitacion,38249,B087QYF1WC,es,E,test
768059,estantes sin taladro habitacion,38249,B08BWTFMV4,es,E,test
768060,estantes sin taladro habitacion,38249,B07WLWYNF3,es,E,test
863762,funda ipad air 4 sin tapa,43240,B09CTXLHZS,es,S,test
863763,funda ipad air 4 sin tapa,43240,B08N9HYMDW,es,E,test
863764,funda ipad air 4 sin tapa,43240,B08N6MJYNM,es,E,test
863765,funda ipad air 4 sin tapa,43240,B08MJBJWLP,es,E,test
863766,funda ipad air 4 sin tapa,43240,B08MQ42Z6P,es,E,test
863767,funda ipad air 4 sin tapa,43240,B08ND8VXN4,es,E,test
863768,funda ipad air 4 sin tapa,43240,B08MF41QVT,es,S,test
863769,funda ipad air 4 sin tapa,43240,B08MSR1SJS,es,S,test
863770,funda ipad air 4 sin tapa,43240,B08PPFGGK3,es,E,test
863771,funda ipad air 4 sin tapa,43240,B08ZS57R32,es,S,test
863772,funda ipad air 4 sin tapa,43240,B08RS2N1VY,es,I,test
863773,funda ipad air 4 sin tapa,43240,B08Z76N379,es,I,test
863774,funda ipad air 4 sin tapa,43240,B092VN3C4H,es,E,test
863775,funda ipad air 4 sin tapa,43240,B09314LYMF,es,S,test
863776,funda ipad air 4 sin tapa,43240,B093NZZZXD,es,E,test
863777,funda ipad air 4 sin tapa,43240,B096ZQXB5P,es,E,test
863778,funda ipad air 4 sin tapa,43240,B09BCW927H,es,E,test
863779,funda ipad air 4 sin tapa,43240,B08M3YK354,es,E,test
863780,funda ipad air 4 sin tapa,43240,B08Q3KQ1KZ,es,S,test
863781,funda ipad air 4 sin tapa,43240,B08LZYZ1FJ,es,E,test
863782,funda ipad air 4 sin tapa,43240,B08J9T11XW,es,E,test
863783,funda ipad air 4 sin tapa,43240,B08LYB2GP9,es,E,test
863784,funda ipad air 4 sin tapa,43240,B071FF9Y6T,es,I,test
863785,funda ipad air 4 sin tapa,43240,B07GXJ9S5M,es,I,test
863786,funda ipad air 4 sin tapa,43240,B07V8GBRPW,es,I,test
863787,funda ipad air 4 sin tapa,43240,B08CXPPSX8,es,E,test
863788,funda ipad air 4 sin tapa,43240,B08DKWQD8R,es,E,test
863789,funda ipad air 4 sin tapa,43240,B08LYZLJ35,es,E,test
863790,funda ipad air 4 sin tapa,43240,B08FQQWVTP,es,E,test
863791,funda ipad air 4 sin tapa,43240,B08FT5QDWJ,es,E,test
863792,funda ipad air 4 sin tapa,43240,B08DXHWQZC,es,E,test
863793,funda ipad air 4 sin tapa,43240,B08GWN3GMX,es,S,test
863794,funda ipad air 4 sin tapa,43240,B08GY7NPYN,es,E,test
863795,funda ipad air 4 sin tapa,43240,B08JCFN672,es,S,test
863796,funda ipad air 4 sin tapa,43240,B08KPYKNWZ,es,E,test
863797,funda ipad air 4 sin tapa,43240,B08KTS1FZT,es,S,test
863798,funda ipad air 4 sin tapa,43240,B08L1XPVFD,es,E,test
863799,funda ipad air 4 sin tapa,43240,B08L6GSP7S,es,S,test
863800,funda ipad air 4 sin tapa,43240,B08LVQPZQD,es,E,test
863801,funda ipad air 4 sin tapa,43240,B08G42DW2L,es,S,test
1214219,lentejas sin gluten,61533,B07ZWPV8LV,es,I,test
1214220,lentejas sin gluten,61533,B07QB8484X,es,E,test
1214221,lentejas sin gluten,61533,B08NW3YCY6,es,I,test
1214222,lentejas sin gluten,61533,B07QB8484Y,es,E,test
1214223,lentejas sin gluten,61533,B07QB8484Z,es,I,test
1214224,lentejas sin gluten,61533,B07RT1QP55,es,E,test
1214225,lentejas sin gluten,61533,B07S4SLSFM,es,E,test
1214226,lentejas sin gluten,61533,B07Y9ZPK8F,es,E,test
1214227,lentejas sin gluten,61533,B0811WMJM7,es,E,test
1214228,lentejas sin gluten,61533,B07FNQ3DHK,es,E,test
1214229,lentejas sin gluten,61533,B082VVLV3X,es,E,test
1214230,lentejas sin gluten,61533,B0837V9T36,es,E,test
1214231,lentejas sin gluten,61533,B084BPS1LS,es,E,test
1214232,lentejas sin gluten,61533,B085WY78SG,es,E,test
1214233,lentejas sin gluten,61533,B0869L7SSX,es,E,test
1214234,lentejas sin gluten,61533,B0869LJW6J,es,E,test
1214235,lentejas sin gluten,61533,B086PZBWZ3,es,S,test
1214236,lentejas sin gluten,61533,B08LNS51YL,es,I,test
1214237,lentejas sin gluten,61533,B081T55SQF,es,S,test
1214238,lentejas sin gluten,61533,B07BXN33GQ,es,E,test
1214239,lentejas sin gluten,61533,B072FQPDZD,es,I,test
1214240,lentejas sin gluten,61533,B079ZYKLFD,es,E,test
1214241,lentejas sin gluten,61533,B07B1171D5,es,E,test
1214242,lentejas sin gluten,61533,B0020T04I2,es,I,test
1214243,lentejas sin gluten,61533,B0046ZFHO4,es,E,test
1214244,lentejas sin gluten,61533,B004X0KWYW,es,I,test
1214245,lentejas sin gluten,61533,B009PLRV2A,es,E,test
1214246,lentejas sin gluten,61533,B00MY3XA6M,es,I,test
1214247,lentejas sin gluten,61533,B00WGOY7O8,es,E,test
1214248,lentejas sin gluten,61533,B00XA0S8LK,es,I,test
1214249,lentejas sin gluten,61533,B00M7DTS88,es,E,test
1214250,lentejas sin gluten,61533,B00XACGH6Q,es,S,test
1214251,lentejas sin gluten,61533,B00XA0SK04,es,S,test
1214252,lentejas sin gluten,61533,B0725Q67X3,es,E,test
1214253,lentejas sin gluten,61533,B01MSTVEZN,es,E,test
1214254,lentejas sin gluten,61533,B01M4LWO0J,es,S,test
1214255,lentejas sin gluten,61533,B073FB37SL,es,E,test
1214256,lentejas sin gluten,61533,B01M27AX2U,es,I,test
1214257,lentejas sin gluten,61533,B01I5JVBZK,es,E,test
1214258,lentejas sin gluten,61533,B01M31TMH8,es,E,test
1829069,sillas oficina ergonomicas,93437,B07C5RGSKY,es,S,test
1829070,sillas oficina ergonomicas,93437,B07QDYWQJM,es,E,test
1829071,sillas oficina ergonomicas,93437,B07PB7SW6S,es,E,test
1829072,sillas oficina ergonomicas,93437,B07GSXMNXF,es,S,test
1829073,sillas oficina ergonomicas,93437,B07G57V9Q3,es,S,test
1829074,sillas oficina ergonomicas,93437,B07D775W5H,es,C,test
1829075,sillas oficina ergonomicas,93437,B07C3VFRJW,es,E,test
1829076,sillas oficina ergonomicas,93437,B07K1ZKDMG,es,E,test
1829077,sillas oficina ergonomicas,93437,B071DXH7YQ,es,I,test
1829078,sillas oficina ergonomicas,93437,B06XBVVQCL,es,S,test
1829079,sillas oficina ergonomicas,93437,B01MZD3O03,es,S,test
1829080,sillas oficina ergonomicas,93437,B01BRGUC9Y,es,I,test
1829081,sillas oficina ergonomicas,93437,B00UTBFWNU,es,E,test
1829082,sillas oficina ergonomicas,93437,B073ZPB8RL,es,E,test
1829083,sillas oficina ergonomicas,93437,B00KKFCLF2,es,S,test
1829084,sillas oficina ergonomicas,93437,B009S68I6A,es,E,test
1881865,soporte aire acondicionado ventana,96202,B08ZJ293FV,es,C,test
1881866,soporte aire acondicionado ventana,96202,B091TJ7PV1,es,E,test
1881867,soporte aire acondicionado ventana,96202,B091YXXW4G,es,I,test
1881868,soporte aire acondicionado ventana,96202,B09293SRPW,es,I,test
1881869,soporte aire acondicionado ventana,96202,B092VMQZXG,es,E,test
1881870,soporte aire acondicionado ventana,96202,B094Y28G6D,es,C,test
1881871,soporte aire acondicionado ventana,96202,B09D9KBVDN,es,E,test
1881872,soporte aire acondicionado ventana,96202,B0963QRTGS,es,I,test
1881873,soporte aire acondicionado ventana,96202,B0987CBW8T,es,I,test
1881874,soporte aire acondicionado ventana,96202,B097PFV19S,es,C,test
1881875,soporte aire acondicionado ventana,96202,B097PW6D1P,es,C,test
1881876,soporte aire acondicionado ventana,96202,B09928JYF7,es,I,test
1881877,soporte aire acondicionado ventana,96202,B09C1WGDJR,es,I,test
1881878,soporte aire acondicionado ventana,96202,B09D99G6T2,es,C,test
1881879,soporte aire acondicionado ventana,96202,B09D9C9R31,es,E,test
1881880,soporte aire acondicionado ventana,96202,B09D9HX6WR,es,E,test
1881881,soporte aire acondicionado ventana,96202,B08XYYCVBK,es,S,test
1881882,soporte aire acondicionado ventana,96202,B0972BCS2L,es,C,test
1881883,soporte aire acondicionado ventana,96202,B08XQ5LQ44,es,I,test
1881884,soporte aire acondicionado ventana,96202,B095HGSRKG,es,C,test
1881885,soporte aire acondicionado ventana,96202,B08TM55DKR,es,E,test
1881886,soporte aire acondicionado ventana,96202,B08XJRM78V,es,I,test
1881887,soporte aire acondicionado ventana,96202,B0172UUVFY,es,S,test
1881888,soporte aire acondicionado ventana,96202,B01CDJQM9S,es,E,test
1881889,soporte aire acondicionado ventana,96202,B07941373N,es,I,test
1881890,soporte aire acondicionado ventana,96202,B07BPZGJ3B,es,I,test
1881891,soporte aire acondicionado ventana,96202,B07CL2XNH1,es,I,test
1881892,soporte aire acondicionado ventana,96202,B07DPXH8VR,es,E,test
1881893,soporte aire acondicionado ventana,96202,B07MCV1KNJ,es,C,test
1881894,soporte aire acondicionado ventana,96202,B07Q2F3151,es,E,test
1881895,soporte aire acondicionado ventana,96202,B094NNJG28,es,S,test
1881896,soporte aire acondicionado ventana,96202,B07TNDV7W9,es,C,test
1881897,soporte aire acondicionado ventana,96202,B07RR79J3Q,es,E,test
1881898,soporte aire acondicionado ventana,96202,B08KGCBKHJ,es,C,test
1881899,soporte aire acondicionado ventana,96202,B08CMZQLSB,es,E,test
1881900,soporte aire acondicionado ventana,96202,B087WJK7CP,es,E,test
1881901,soporte aire acondicionado ventana,96202,B08RJCFK4R,es,I,test
1881902,soporte aire acondicionado ventana,96202,B085XRDHXQ,es,I,test
1881903,soporte aire acondicionado ventana,96202,B0845NSYM3,es,I,test
1881904,soporte aire acondicionado ventana,96202,B08742951P,es,E,test
1962847,taladro 24v batería,100455,B07QY6R25X,es,C,test
1962848,taladro 24v batería,100455,B07NFK1HV6,es,S,test
1962849,taladro 24v batería,100455,B07MJKBGYC,es,S,test
1962850,taladro 24v batería,100455,B07JHCZ1T4,es,S,test
1962851,taladro 24v batería,100455,B07D9M468R,es,S,test
1962852,taladro 24v batería,100455,B07CHJKLFJ,es,C,test
1962853,taladro 24v batería,100455,B07C2TM76Y,es,S,test
1962854,taladro 24v batería,100455,B076HP22SP,es,C,test
1962855,taladro 24v batería,100455,B075FPNWM2,es,S,test
1962856,taladro 24v batería,100455,B01N9K6Z8J,es,C,test
1962857,taladro 24v batería,100455,B01N6Y6G16,es,S,test
1962858,taladro 24v batería,100455,B01N5T6SL4,es,S,test
1962859,taladro 24v batería,100455,B01JLRALEC,es,C,test
1962860,taladro 24v batería,100455,B01A5VQHBY,es,S,test
1962861,taladro 24v batería,100455,B00G7614BK,es,S,test
1962862,taladro 24v batería,100455,B01AY8BVQY,es,E,test
1981000,television 28 pulgadas,101352,B07QVHD5BS,es,S,test
1981001,television 28 pulgadas,101352,B07YCNBYL2,es,S,test
1981002,television 28 pulgadas,101352,B07WV3V2GV,es,E,test
1981003,television 28 pulgadas,101352,B07V1XCNVT,es,E,test
1981004,television 28 pulgadas,101352,B07TYG4M2B,es,E,test
1981005,television 28 pulgadas,101352,B07SC6Z95F,es,S,test
1981006,television 28 pulgadas,101352,B07CRRY36Y,es,E,test
1981007,television 28 pulgadas,101352,B07XVL338B,es,S,test
1981008,television 28 pulgadas,101352,B07CKWJK2B,es,S,test
1981009,television 28 pulgadas,101352,B07BBRZPDQ,es,S,test
1981010,television 28 pulgadas,101352,B0764HDSXF,es,I,test
1981011,television 28 pulgadas,101352,B075ZVD13S,es,S,test
1981012,television 28 pulgadas,101352,B071RZ9H97,es,S,test
1981013,television 28 pulgadas,101352,B06ZY98DQ3,es,S,test
1981014,television 28 pulgadas,101352,B06Y2GRX8V,es,E,test
1981015,television 28 pulgadas,101352,B07CQ84VKG,es,E,test
